numero_precatorio;numero_processo;beneficiario;cpf_cnpj_beneficiario;valor_original;valor_atualizado;data_requisicao;data_atualizacao;tipo;status;entidade_devedora;id_entidade;regime;ordem_cronologica;observacoes;timestamp_extracao
2019.06521-0;;Não informado;;11879.94;41657.11;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06517-1;;Não informado;;46214.28;115648.46;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06496-5;;Não informado;;53688.24;110776.97;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06530-9;;Não informado;;25286.62;85642.81;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06577-5;;Não informado;;339.00;616.39;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06579-1;;Não informado;;73898.90;130252.96;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00057-6;;Não informado;;307108.57;555824.27;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00676-0;;Não informado;;308649.16;558604.78;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00355-9;;Não informado;;85917.28;159475.27;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06584-8;;Não informado;;186417.62;364547.54;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00060-6;;Não informado;;79893.26;156234.64;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00374-5;;Não informado;;35290.82;65478.30;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00385-0;;Não informado;;156763.56;459067.62;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00496-2;;Não informado;;31352.71;101623.28;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00482-2;;Não informado;;156763.56;459067.63;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00376-1;;Não informado;;78096.34;156099.10;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00262-5;;Não informado;;620577.15;267850.46;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00407-5;;Não informado;;134331.40;234328.42;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00591-8;;Não informado;;157600.00;395007.16;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00555-1;;Não informado;;69400.84;120522.09;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00434-2;;Não informado;;59811.59;167729.50;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00450-4;;Não informado;;147924.39;272956.42;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00431-8;;Não informado;;35612.18;67946.23;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00233-1;;Não informado;;27542.62;54016.79;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00246-3;;Não informado;;41725.58;149228.71;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00213-7;;Não informado;;56043.23;116782.62;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00665-5;;Não informado;;10147.16;20862.48;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00695-7;;Não informado;;10147.16;20862.48;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00681-7;;Não informado;;47353.44;97358.32;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00622-1;;Não informado;;224864.13;413725.96;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00745-7;;Não informado;;19753.07;42615.02;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00756-2;;Não informado;;19753.07;42615.02;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00351-6;;Não informado;;34850.14;67224.36;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00350-8;;Não informado;;33841.24;62951.87;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00221-8;;Não informado;;213007.63;393363.34;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00307-9;;Não informado;;83742.78;152574.21;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00238-2;;Não informado;;46742.26;82251.61;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00260-9;;Não informado;;67491.77;201106.94;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00834-8;;Não informado;;67888.05;124279.98;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00720-1;;Não informado;;37930.21;66762.11;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00740-6;;Não informado;;64183.14;115834.47;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00712-0;;Não informado;;64183.14;115834.47;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00724-4;;Não informado;;44007.69;126154.98;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00880-1;;Não informado;;35955.95;63516.34;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00845-3;;Não informado;;71031.63;173517.34;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00852-6;;Não informado;;71031.63;173517.34;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00839-9;;Não informado;;71031.63;173517.34;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00873-9;;Não informado;;71031.63;133594.36;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00829-1;;Não informado;;71031.63;133602.87;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00856-9;;Não informado;;41750.01;72307.33;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00867-4;;Não informado;;81067.95;148931.02;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00859-3;;Não informado;;110607.31;337271.26;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00838-0;;Não informado;;97375.14;296922.84;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01004-0;;Não informado;;45951.23;103305.82;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00883-6;;Não informado;;42546.78;96235.29;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00866-6;;Não informado;;42546.78;141956.10;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01096-2;;Não informado;;36468.66;82487.36;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00991-3;;Não informado;;116601.40;355548.84;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00966-2;;Não informado;;4548557.77;15301861.40;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00605-1;;Não informado;;31575.34;97088.63;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00896-8;;Não informado;;60268.99;121830.61;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00877-1;;Não informado;;20089.66;40610.20;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00914-0;;Não informado;;110257.49;191698.95;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00911-5;;Não informado;;66426.51;115492.31;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01261-2;;Não informado;;395469.04;1078596.01;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01185-3;;Não informado;;69788.64;157205.12;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00696-5;;Não informado;;92945.54;193702.72;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01021-0;;Não informado;;92945.54;193823.32;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00953-0;;Não informado;;135795.99;282369.57;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00751-1;;Não informado;;22858.45;47634.10;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01034-2;;Não informado;;118807.13;220407.78;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00702-3;;Não informado;;47522.85;88938.22;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01046-6;;Não informado;;118807.13;220407.78;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00792-9;;Não informado;;118807.13;220407.78;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01025-3;;Não informado;;118807.13;220407.78;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01048-2;;Não informado;;85565.61;155022.88;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00679-5;;Não informado;;74469.69;182119.50;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01043-1;;Não informado;;763352.48;1539796.68;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00794-5;;Não informado;;25022.11;58253.71;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00807-0;;Não informado;;25022.11;56623.61;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01030-0;;Não informado;;25022.11;58232.37;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00776-7;;Não informado;;105611.93;313760.37;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01031-8;;Não informado;;63788.53;114733.23;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01078-4;;Não informado;;63788.14;114732.51;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01345-7;;Não informado;;63788.53;114733.23;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01050-4;;Não informado;;200065.09;594369.44;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01349-0;;Não informado;;30216.89;97002.31;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01173-0;;Não informado;;50584.62;130972.42;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00937-9;;Não informado;;12096.48;50971.34;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01166-7;;Não informado;;135801.83;258853.99;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01075-0;;Não informado;;46359.81;162401.19;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01151-9;;Não informado;;41888.31;72929.91;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01138-1;;Não informado;;281161.23;485067.47;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01097-0;;Não informado;;81956.97;328918.28;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00983-2;;Não informado;;1032853.26;2771293.29;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00964-6;;Não informado;;24531.75;72070.00;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00978-6;;Não informado;;24531.75;72070.00;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00963-8;;Não informado;;58542.67;109338.47;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01088-1;;Não informado;;50913.82;148070.40;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01145-4;;Não informado;;33942.55;98715.01;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.01168-3;;Não informado;;33942.55;98713.59;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
